league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Bundesliga,FC Augsburg,167,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2025,€5.22m,€151.38m,5220000.0,151380000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Union Berlin,89,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2025,€4.45m,€124.70m,4450000.0,124700000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Hamburger SV,41,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2025,€3.55m,€106.45m,3550000.0,106450000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Köln,3,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2025,€3.66m,€106.28m,3660000.0,106280000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,FC St. Pauli,35,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2025,€2.21m,€64.08m,2210000.0,64080000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,1.FC Heidenheim 1846,2036,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2025,€2.10m,€56.80m,2100000.0,56800000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Cypriot First Division,Pafos FC,45457,https://www.transfermarkt.com/pafos-fc/startseite/verein/45457/saison_id/2025,€936k,€26.20m,936000.0,26200000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Aris Limassol,10586,https://www.transfermarkt.com/aris-limassol/startseite/verein/10586/saison_id/2025,€605k,€18.15m,605000.0,18150000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,Omonia Nicosia,829,https://www.transfermarkt.com/omonia-nikosia/startseite/verein/829/saison_id/2025,€574k,€16.65m,574000.0,16649999.999999998,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
Cypriot First Division,APOEL Nicosia,2784,https://www.transfermarkt.com/apoel-nikosia/startseite/verein/2784/saison_id/2025,€477k,€15.25m,477000.0,15250000.0,https://www.transfermarkt.com/1-division/startseite/wettbewerb/ZYP1
