club,league_name,country_name,average_rating,coach_name,stadium_name
Real Sociedad,La Liga,Spain,78,sergio francisco ramos,Reale Arena
Villarreal CF,La Liga,Spain,78,marcelino garcia toral,Estadio de la Cerámica
SL Benfica,Primeira Liga,Portugal,78,jose mario felix dos santos mourinho,Estádio da Luz
Everton,Premier League,England,77,david moyes,Hill Dickinson Stadium
West Ham United,Premier League,England,77,nuno herlander simoes espirito santo,London Stadium
VfB Stuttgart,Bundesliga,Germany,77,sebastian hoeness,MHPArena
Fiorentina,Serie A,Italy,77,stefano pioli,Stadio Classico
Al Hilal,Saudi Pro League,Saudi Arabia,77,simone inzaghi,King Fahd International Stadium
Brentford,Premier League,England,77,keith andrews,Gtech Community Stadium
Fulham FC,Premier League,England,77,marco alexandre saraiva da silva,Craven Cottage
VfL Wolfsburg,Bundesliga,Germany,77,paul simonis,Volkswagen Arena
CA Osasuna,La Liga,Spain,77,alessio lisci,Estadio El Sadar
Rayo Vallecano,La Liga,Spain,77,inigo perez,Estadio de Vallecas
FC Porto,Primeira Liga,Portugal,77,francesco farioli,Estádio do Dragão
Girona FC,La Liga,Spain,77,miguel angel sanchez munoz,Estadio de Montilivi
PSV,Eredivisie,Netherlands,77,peter bosz,Philips Stadion
Leeds United,Premier League,England,76,daniel farke,Elland Road
Al Nassr,Saudi Pro League,Saudi Arabia,76,jorge fernando pinheiro de jesus,Stade Municipal
Flamengo,Serie A,Brazil,76,filipe luis kasmirski,O Dromo
Olympiacos FC,Greek Super League,Greece,76,jose luis mendilibar etxebarria,Waldstadion
Torino,Serie A,Italy,76,marco baroni,Sanderson Park
Lille OSC,Ligue 1 Uber Eats,France,76,bruno genesio,Decathlon Arena
Olympique Lyonnais,Ligue 1 Uber Eats,France,76,mario jorge maciel pereira nascimento,Groupama Stadium
Beşiktaş JK,Turkish Süper Lig,Türkiye,76,ali riza sergen yalcin,Tupras Stadyumu
OGC Nice,Ligue 1 Uber Eats,France,76,franck haise,Waldstadion
Stade Rennais FC,Ligue 1 Uber Eats,France,76,habib beye,Stade Municipal
River Plate,Primera División,Argentina,76,marcelo daniel gallardo,El Monumental
Al Ittihad,Saudi Pro League,Saudi Arabia,76,laurent blanc,King Abdullah Sports City
Sunderland,Premier League,England,76,regis le bris,Stadium of Light
Wolverhampton Wanderers,Premier League,England,76,vitor manuel de oliveira lopes pereira,Molineux Stadium
Bologna,Serie A,Italy,76,vincenzo italiano,Euro Arena
RC Celta,La Liga,Spain,76,claudio giraldez gonzalez,Estadio Abanca-Balaídos
RCD Mallorca,La Liga,Spain,76,jagoba arrasate elustondo,Visit Mallorca Estadi
Valencia CF,La Liga,Spain,76,carlos corberan vallet,Estadio Mestalla
Como,Serie A,Italy,76,cesc fabregas,Town Park
Burnley,Premier League,England,75,scott parker,Turf Moor
Botafogo,Serie A,Brazil,75,davide ancelotti,O Dromo
SK Slavia Praha,Czech First League,Czechia,75,jindrich trpisovsky,Stade Municipal
